,callDateTime,priority,district,description,callNumber,incidentLocation,location
33,7/13/2015 10:56,Medium,SE,911/NO  VOICE,P151941038,2100 BOSTON ST,"(39.2846619,-76.5866615)"
34,7/13/2015 10:57,Medium,SE,LARCENY F/AUTO,P151941039,E LOMBARD ST/S COLLINGTON AV,"(39.290677,-76.586158)"
35,7/13/2015 10:57,High,NW,SILENT ALARM,P151941040,4100 MONDAWMIN AV,"(39.3154440,-76.6842720)"
36,7/13/2015 9:33,Non-Emergency,ND,FOLLOW UP,P151941041,1000 W 38TH ST,"(39.3343125,-76.6334187)"
37,7/13/2015 10:58,Low,NW,AUTO ACCIDENT,P151941042,5400 REISTERSTOWN RD,"(39.3460230,-76.6883340)"
38,7/13/2015 10:57,Medium,SW,911/NO  VOICE,P151941043,3200 FREDERICK AV,"(39.2805996,-76.6699645)"
39,7/13/2015 10:58,Non-Emergency,CD,Private Tow,P151941044,1100 BOLTON ST,"(39.3035674,-76.6236311)"
40,7/13/2015 10:49,Non-Emergency,NE,INVESTIGATE AUTO,P151941045,1500 KENNEWICK RD,"(39.3347790,-76.5941570)"
41,7/13/2015 10:59,Low,WD,OTHER,P151941046,1700 W LEXINGTON ST,"(39.2908640,-76.6441260)"
42,7/13/2015 10:56,Low,SW,INVEST,P151941047,N FRANKLINTOWN RD/EDMONDSON AV,"(39.294468,-76.663321)"
43,7/13/2015 10:57,Medium,SE,DISORDERLY,P151941048,3300 E FAYETTE ST,"(39.2950660,-76.5708960)"
44,7/13/2015 11:01,Medium,SD,NARCOTICSOutside,P151941049,1900 W LOMBARD ST,"(39.2863280,-76.6469680)"
45,7/13/2015 11:00,High,ED,SILENT ALARM,P151941050,900 E PRESTON ST,"(39.3051441,-76.6049921)"
46,7/13/2015 11:01,High,ED,SILENT ALARM,P151941051,1600 E CHASE ST,"(39.3033370,-76.5963690)"
47,7/13/2015 11:02,Medium,CD,COMMON ASSAULT,P151941052,0 S PACA ST,"(39.2880705,-76.6222292)"
48,7/13/2015 11:00,Low,ED,DESTRUCT PROPTY,P151941053,1600 E OLIVER ST,"(39.3075970,-76.5963340)"
49,7/13/2015 11:05,Non-Emergency,CW,Tow - DO NOT USE,P151941055,2300 MCCULLOH ST,"(39.3107070,-76.6376230)"
50,7/13/2015 11:04,Medium,CD,911/NO  VOICE,P151941057,600 E FAYETTE ST,"(39.2906737,-76.6071600)"
51,7/13/2015 11:04,Medium,SE,911/NO  VOICE,P151941058,100 N LUZERNE AV,"(39.2932710,-76.5807600)"
52,7/13/2015 11:06,Low,SD,Transport,P151941060,SOUTHERN DISTRICT,"(39.253253,-76.615524)"
53,7/13/2015 11:03,Medium,ED,911/NO  VOICE,P151941061,600 N WOLFE ST,"(39.2972451,-76.5922121)"
54,7/13/2015 11:06,Low,NE,AUTO ACCIDENT,P151941062,E COLD SPRING LN/HARFORD RD,"(39.342808,-76.569129)"
55,7/13/2015 11:06,Medium,ND,AUTO THEFT,P151941064,4200 ST GEORGES AV,"(39.3416280,-76.6031210)"
56,7/13/2015 11:06,Medium,ED,DISORDERLY,P151941065,1600 E CHASE ST,"(39.3033370,-76.5963690)"
57,7/13/2015 11:05,Medium,SE,BURGLARY,P151941067,100 N MILTON AV,"(39.2932140,-76.5822050)"
58,7/13/2015 11:07,High,NE,AUTO ACC/INJURY,P151941068,HARFORD RD/E COLD SPRING LN,"(39.342808,-76.569129)"
59,7/13/2015 11:09,High,NE,AUTO ACC/INJURY,P151941069,HARFORD RD/E COLD SPRING LN,"(39.342808,-76.569129)"
60,7/13/2015 11:09,Non-Emergency,WD,TOWED VEHICLE,P151941070,100 N FULTON AV,"(39.2895849,-76.6452986)"
61,7/13/2015 11:08,Medium,ED,AED NONBREATHING,P151941071,1800 N REGESTER ST,"(39.3110140,-76.5943379)"
62,7/13/2015 11:08,Low,NE,HIT AND RUN,P151941072,E COLD SPRING LN/HARFORD RD,"(39.342808,-76.569129)"
63,5/7/2016 10:59,High,NE,Traffic Stop,P161281026,SINCLAIR LN/EDISON HY,"(39.314322,-76.573130)"
64,5/7/2016 10:57,Medium,CD,NARCOTICSOutside,P161281028,2200 BLK CALLOW AV,"(39.3128040,-76.6317270)"
65,5/7/2016 11:01,High,NE,Traffic Stop,P161281030,WALTHER AV/FRANKFORD AV,"(39.346063,-76.556117)"
66,5/7/2016 10:59,Medium,ED,NARCOTICS INSIDE,P161281031,2100 KENNEDY AV,"(39.3145199,-76.6031121)"
67,5/7/2016 11:00,Medium,SW,AUTO THEFT,P161281032,1000 N ELLAMONT ST,"(39.3005730,-76.6702670)"
68,5/7/2016 11:01,Medium,ND,911/NO  VOICE,P161281033,3800 HOOPER AV,"(39.3338043,-76.6474606)"
69,5/7/2016 11:03,Non-Emergency,NE,Repairs/Service,P161281035,100,"(39.3810499,-76.6572571)"
70,5/7/2016 11:01,Low,SD,INVESTIGATE,P161281036,300 S CALHOUN ST,"(39.2843850,-76.6395579)"
